Date,Season,home,visitor,FT,hgoal,vgoal,division,tier,totgoal,goaldif,result
2022-07-30,2022,Northampton Town,Colchester United,3–2,3,2,4,4,5,1,H
2022-07-30,2022,Salford City,Mansfield Town,2–0,2,0,4,4,2,2,H
2022-07-30,2022,Carlisle United,Crawley Town,1–0,1,0,4,4,1,1,H
2022-07-30,2022,Leyton Orient,Grimsby Town,2–0,2,0,4,4,2,2,H
2022-07-30,2022,Tranmere Rovers,Stevenage Borough,1–2,1,2,4,4,3,-1,A
2022-07-30,2022,Stockport,Barrow,2–3,2,3,4,4,5,-1,A
2022-07-30,2022,A.F.C. Wimbledon,Gillingham,2–0,2,0,4,4,2,2,H
2022-07-30,2022,Rochdale,Crewe Alexandra,1–2,1,2,4,4,3,-1,A
2022-07-30,2022,Walsall,Hartlepool United,4–0,4,0,4,4,4,4,H
2022-07-30,2022,Bradford City,Doncaster Rovers,0–0,0,0,4,4,0,0,D
2022-07-30,2022,Sutton United,Newport County,1–1,1,1,4,4,2,0,D
2022-07-30,2022,Harrogate Town A.F.C.,Swindon Town,3–0,3,0,4,4,3,3,H
2022-08-06,2022,Mansfield Town,Tranmere Rovers,1–0,1,0,4,4,1,1,H
2022-08-06,2022,Crawley Town,Leyton Orient,0–1,0,1,4,4,1,-1,A
2022-08-06,2022,Grimsby Town,Northampton Town,1–1,1,1,4,4,2,0,D
2022-08-06,2022,Colchester United,Carlisle United,1–1,1,1,4,4,2,0,D
2022-08-06,2022,Crewe Alexandra,Harrogate Town A.F.C.,3–0,3,0,4,4,3,3,H
2022-08-06,2022,Stevenage Borough,Stockport,2–1,2,1,4,4,3,1,H
2022-08-06,2022,Doncaster Rovers,Sutton United,2–1,2,1,4,4,3,1,H
2022-08-06,2022,Newport County,Walsall,0–1,0,1,4,4,1,-1,A
2022-08-06,2022,Barrow,Bradford City,3–2,3,2,4,4,5,1,H
2022-08-06,2022,Swindon Town,Salford City,0–0,0,0,4,4,0,0,D
2022-08-06,2022,Hartlepool United,A.F.C. Wimbledon,0–0,0,0,4,4,0,0,D
2022-08-06,2022,Gillingham,Rochdale,1–0,1,0,4,4,1,1,H
2022-08-13,2022,Stockport,Colchester United,1–0,1,0,4,4,1,1,H
2022-08-13,2022,Rochdale,Grimsby Town,0–1,0,1,4,4,1,-1,A
2022-08-13,2022,Carlisle United,Swindon Town,1–1,1,1,4,4,2,0,D
2022-08-13,2022,Bradford City,Newport County,2–0,2,0,4,4,2,2,H
2022-08-13,2022,Walsall,Stevenage Borough,1–1,1,1,4,4,2,0,D
2022-08-13,2022,A.F.C. Wimbledon,Doncaster Rovers,2–2,2,2,4,4,4,0,D
2022-08-13,2022,Tranmere Rovers,Gillingham,3–0,3,0,4,4,3,3,H
2022-08-13,2022,Northampton Town,Hartlepool United,2–1,2,1,4,4,3,1,H
2022-08-13,2022,Salford City,Crewe Alexandra,3–0,3,0,4,4,3,3,H
2022-08-13,2022,Harrogate Town A.F.C.,Crawley Town,0–0,0,0,4,4,0,0,D
2022-08-13,2022,Sutton United,Barrow,1–0,1,0,4,4,1,1,H
2022-08-13,2022,Leyton Orient,Mansfield Town,1–0,1,0,4,4,1,1,H
2022-08-16,2022,Newport County,Salford City,2–3,2,3,4,4,5,-1,A
2022-08-16,2022,Doncaster Rovers,Stockport,2–1,2,1,4,4,3,1,H
2022-08-16,2022,Mansfield Town,A.F.C. Wimbledon,5–2,5,2,4,4,7,3,H
2022-08-16,2022,Crewe Alexandra,Sutton United,1–0,1,0,4,4,1,1,H
2022-08-16,2022,Stevenage Borough,Rochdale,1–0,1,0,4,4,1,1,H
2022-08-16,2022,Barrow,Walsall,2–1,2,1,4,4,3,1,H
2022-08-16,2022,Colchester United,Bradford City,1–0,1,0,4,4,1,1,H
2022-08-16,2022,Crawley Town,Northampton Town,2–3,2,3,4,4,5,-1,A
2022-08-16,2022,Hartlepool United,Tranmere Rovers,0–0,0,0,4,4,0,0,D
2022-08-16,2022,Gillingham,Harrogate Town A.F.C.,0–2,0,2,4,4,2,-2,A
2022-08-16,2022,Swindon Town,Leyton Orient,1–1,1,1,4,4,2,0,D
2022-08-20,2022,Hartlepool United,Bradford City,1–3,1,3,4,4,4,-2,A
2022-08-20,2022,Gillingham,Walsall,0–0,0,0,4,4,0,0,D
2022-08-20,2022,Grimsby Town,Sutton United,0–0,0,0,4,4,0,0,D
2022-08-20,2022,Stevenage Borough,Carlisle United,2–1,2,1,4,4,3,1,H
2022-08-20,2022,Doncaster Rovers,Salford City,2–1,2,1,4,4,3,1,H
2022-08-20,2022,Crawley Town,A.F.C. Wimbledon,0–2,0,2,4,4,2,-2,A
2022-08-20,2022,Crewe Alexandra,Northampton Town,2–2,2,2,4,4,4,0,D
2022-08-20,2022,Colchester United,Leyton Orient,1–3,1,3,4,4,4,-2,A
2022-08-20,2022,Swindon Town,Rochdale,3–0,3,0,4,4,3,3,H
2022-08-20,2022,Barrow,Harrogate Town A.F.C.,1–0,1,0,4,4,1,1,H
2022-08-20,2022,Newport County,Tranmere Rovers,2–1,2,1,4,4,3,1,H
2022-08-20,2022,Mansfield Town,Stockport,2–1,2,1,4,4,3,1,H
2022-08-27,2022,Rochdale,Crawley Town,1–1,1,1,4,4,2,0,D
2022-08-27,2022,Sutton United,Mansfield Town,2–1,2,1,4,4,3,1,H
2022-08-27,2022,A.F.C. Wimbledon,Barrow,0–1,0,1,4,4,1,-1,A
2022-08-27,2022,Salford City,Stevenage Borough,1–0,1,0,4,4,1,1,H
2022-08-27,2022,Walsall,Grimsby Town,1–2,1,2,4,4,3,-1,A
2022-08-27,2022,Bradford City,Crewe Alexandra,0–0,0,0,4,4,0,0,D
2022-08-27,2022,Leyton Orient,Hartlepool United,4–2,4,2,4,4,6,2,H
2022-08-27,2022,Northampton Town,Doncaster Rovers,0–1,0,1,4,4,1,-1,A
